score,gate,idx,type,label,head,head_type,tail,tail_type,head_start,head_end,tail_start,tail_end,train_type_freq,unique_source_count,weighted_support,trigger_score,trigger_hits,base_sample_rel_count,sources,context
21.3,pass,249,QTL-LOI-TRT,LOI,QTLs,QTL,grain HIS content,TRT,388,392,4,21,224,42,10.5,3,"mapping,linkage,chromosome,chr",1,submit_ensemble.json;submit_ensemble_v2_intersect.json;submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_optimized.json;submit_sc_gemini.json;submit_v13_e3clean.json;submit_v13_e3plus.json;submit_v13_e3v12.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v20_verF_sc_only.json;submit_v3.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v31_plus_safe_core.json;submit_v31_plus_safe_selective.json;submit_v32_plus_qtl_abs.json;submit_v33_mega.json;submit_v33_qtl_gene.json;submit_v36_gene_abs_qtl.json;submit_v36_qtl_loi.json;submit_v37_all4.json;submit_v37_gene_qtl.json;submit_v37_qtl_loi.json;submit_v38_llm_qtl.json;submit_v4.json;submit_v5.json;submit_v6_rag.json;submit_v7_cicl_v2.json;submit_v9_clean.json;submit_v9_targeted.json;submit_v9v12_merged.json,The grain HIS content of Schooner No. 3 was 0.21 mg/g. The grain HIS content of the population ranged from 0.23 to 0.54 mg/g. Genetic linkage maps for seven barley chromosomes were constructed using 180 SSR markers. The total genetic distance was 2671.03 cM with an average marker spacing of 14.84 cM. QTL analysis of grain HIS content in barley was performed using IciMappingV3.3. Three QTLs were detected.
20.5625,pass,199,QTL-LOI-CHR,LOI,Drought-related QTL,QTL,"linkage groups 1, 2, 3, 5, 6, 7, 9, and 10",CHR,0,19,28,70,141,41,11.8,2,"mapped,linkage",0,submit_ensemble.json;submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_v10_gemini.json;submit_v13_e3clean.json;submit_v13_e3plus.json;submit_v13_e3v12.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v2.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v31_plus_safe_selective.json;submit_v32_plus_qtl_abs.json;submit_v33_mega.json;submit_v33_qtl_gene.json;submit_v36_gene_abs_qtl.json;submit_v36_qtl_loi.json;submit_v37_all4.json;submit_v37_gene_qtl.json;submit_v37_qtl_loi.json;submit_v38_llm_highconf.json;submit_v38_llm_no_rel.json;submit_v38_llm_qtl.json;submit_v38_llm_strict.json;submit_v41_precise_cv.json;submit_v41_precise_strict.json;submit_v41_rule_all.json;submit_v41_rule_qtl_loi_chr.json;submit_v41_sub_conservative_plus_cv.json;submit_v41_sub_conservative_plus_strict.json;submit_v7_cicl_v2.json,"Drought-related QTL were on linkage groups 1, 2, 3, 5, 6, 7, 9, and 10. Two maturity QTL mapped on linkage groups 7 and 8 separately."
20.5625,pass,199,QTL-LOI-CHR,LOI,maturity QTL,QTL,linkage groups 7 and 8,CHR,76,88,99,121,141,41,11.8,2,"mapped,linkage",0,submit_ensemble.json;submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_v10_gemini.json;submit_v13_e3clean.json;submit_v13_e3plus.json;submit_v13_e3v12.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v2.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v31_plus_safe_selective.json;submit_v32_plus_qtl_abs.json;submit_v33_mega.json;submit_v33_qtl_gene.json;submit_v36_gene_abs_qtl.json;submit_v36_qtl_loi.json;submit_v37_all4.json;submit_v37_gene_qtl.json;submit_v37_qtl_loi.json;submit_v38_llm_highconf.json;submit_v38_llm_no_rel.json;submit_v38_llm_qtl.json;submit_v38_llm_strict.json;submit_v41_precise_cv.json;submit_v41_precise_strict.json;submit_v41_rule_all.json;submit_v41_rule_qtl_loi_chr.json;submit_v41_sub_conservative_plus_cv.json;submit_v41_sub_conservative_plus_strict.json;submit_v7_cicl_v2.json,"Drought-related QTL were on linkage groups 1, 2, 3, 5, 6, 7, 9, and 10. Two maturity QTL mapped on linkage groups 7 and 8 separately."
20.55,pass,141,QTL-LOI-TRT,LOI,QTL,QTL,carotenoid content,TRT,2,5,193,211,224,43,10.75,2,"chromosome,chr",2,submit_ensemble.json;submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_ensemble_v4b.json;submit_optimized.json;submit_sc_gemini.json;submit_v10_gemini.json;submit_v11_nano.json;submit_v13_e3clean.json;submit_v13_e3plus.json;submit_v13_e3v12.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v2.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v20_verF_sc_only.json;submit_v3.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v31_plus_safe_core.json;submit_v31_plus_safe_selective.json;submit_v32_plus_qtl_abs.json;submit_v33_mega.json;submit_v33_qtl_gene.json;submit_v36_gene_abs_qtl.json;submit_v36_qtl_loi.json;submit_v37_all4.json;submit_v37_gene_qtl.json;submit_v37_qtl_loi.json;submit_v38_llm_qtl.json;submit_v4.json;submit_v6_rag.json;submit_v9_clean.json;submit_v9_targeted.json;submit_v9v12_merged.json,"A QTL on chromosome 2 was stable across environments, had positive additive effects, explained phenotypic variance, and was associated with the Psy3 gene. This is the first report of a QTL for carotenoid content in sorghum."
20.3,pass,51,QTL-LOI-TRT,LOI,QTLs,QTL,chlorophyll content,TRT,5,9,243,262,224,42,10.5,2,"region,locus",11,submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_ensemble_v4b.json;submit_optimized.json;submit_sc_gemini.json;submit_v10_gemini.json;submit_v11_nano.json;submit_v13_e3clean.json;submit_v13_e3plus.json;submit_v13_e3v12.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v2.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v20_verF_sc_only.json;submit_v3.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v31_plus_safe_core.json;submit_v31_plus_safe_selective.json;submit_v32_plus_qtl_abs.json;submit_v33_mega.json;submit_v33_qtl_gene.json;submit_v36_gene_abs_qtl.json;submit_v36_qtl_loi.json;submit_v37_all4.json;submit_v37_gene_qtl.json;submit_v37_qtl_loi.json;submit_v38_llm_qtl.json;submit_v4.json;submit_v5.json;submit_v9_clean.json;submit_v9_targeted.json;submit_v9v12_merged.json,"Meta-QTLs on CaLG01 and CaLG06 harbor QTLs for traits including days to 50% flowering, days to maturity, days to flower initiation, days to pod initiation, number of filled pods, visual score, seed yield per plant, biological yield per plant, chlorophyll content, and harvest index. Key genes in Meta-QTL regions include Pollen receptor-like kinase 3 (CaPRK3), Flowering-promoting factor 1 (CaFPF1), Flowering Locus C (CaFLC), Heat s"
20.3,pass,51,QTL-LOI-TRT,LOI,QTLs,QTL,harvest index,TRT,5,9,268,281,224,42,10.5,2,"region,locus",11,submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_ensemble_v4b.json;submit_optimized.json;submit_sc_gemini.json;submit_v10_gemini.json;submit_v11_nano.json;submit_v13_e3clean.json;submit_v13_e3plus.json;submit_v13_e3v12.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v2.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v20_verF_sc_only.json;submit_v3.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v31_plus_safe_core.json;submit_v31_plus_safe_selective.json;submit_v32_plus_qtl_abs.json;submit_v33_mega.json;submit_v33_qtl_gene.json;submit_v36_gene_abs_qtl.json;submit_v36_qtl_loi.json;submit_v37_all4.json;submit_v37_gene_qtl.json;submit_v37_qtl_loi.json;submit_v38_llm_qtl.json;submit_v4.json;submit_v5.json;submit_v9_clean.json;submit_v9_targeted.json;submit_v9v12_merged.json,"Meta-QTLs on CaLG01 and CaLG06 harbor QTLs for traits including days to 50% flowering, days to maturity, days to flower initiation, days to pod initiation, number of filled pods, visual score, seed yield per plant, biological yield per plant, chlorophyll content, and harvest index. Key genes in Meta-QTL regions include Pollen receptor-like kinase 3 (CaPRK3), Flowering-promoting factor 1 (CaFPF1), Flowering Locus C (CaFLC), Heat stress transcription facto"
20.05,pass,319,QTL-LOI-TRT,LOI,"Three QTLs for seed number per pod (Snp3.1, Snp3.2, Snp4.1)",QTL,seed number per pod,TRT,213,272,228,247,224,37,9.25,3,"mapped,chromosome,chr",4,submit_ensemble.json;submit_ensemble_v2_intersect.json;submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_v13_e3clean.json;submit_v13_e3plus.json;submit_v13_e3v12.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v31_plus_safe_core.json;submit_v31_plus_safe_selective.json;submit_v32_plus_qtl_abs.json;submit_v33_mega.json;submit_v33_qtl_gene.json;submit_v36_gene_abs_qtl.json;submit_v36_qtl_loi.json;submit_v37_all4.json;submit_v37_gene_qtl.json;submit_v37_qtl_loi.json;submit_v38_llm_qtl.json;submit_v5.json;submit_v6_rag.json;submit_v7_cicl_v2.json;submit_v9_clean.json;submit_v9_targeted.json;submit_v9v12_merged.json,"gated with SNP marker s690-144110, and VaFld4.2 was 0.974 cM from SNP marker s165-116310. Three QTLs for seed number per pod (Snp3.1, Snp3.2, Snp4.1) were mapped on chromosomes 3 and 4."
19.8,pass,91,QTL-LOI-TRT,LOI,Three QTL,QTL,Al tolerance,TRT,170,179,223,235,224,36,9.0,3,"linked,chromosome,chr",7,submit_ensemble.json;submit_ensemble_v2_intersect.json;submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_v13_e3clean.json;submit_v13_e3plus.json;submit_v13_e3v12.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v31_plus_safe_core.json;submit_v31_plus_safe_selective.json;submit_v32_plus_qtl_abs.json;submit_v33_mega.json;submit_v33_qtl_gene.json;submit_v36_gene_abs_qtl.json;submit_v36_qtl_loi.json;submit_v37_all4.json;submit_v37_gene_qtl.json;submit_v37_qtl_loi.json;submit_v38_llm_qtl.json;submit_v6_rag.json;submit_v7_cicl_v2.json;submit_v9_clean.json;submit_v9_targeted.json;submit_v9v12_merged.json,"pulation. SNP markers linked to QTL affecting root growth response to Al were identified. Three QTL on chromosomes 7C-17A, 13A, and 19A confer Al tolerance. They were identified using primary root regrowth of recombinant inbred lines from the cross between UFRGS 17 (Al tolerant) and UFRGS 930598-6 (Al sensitive)."
19.7125,pass,112,GENE-AFF-TRT,AFF,Group 3 LEA genes,GENE,abiotic stress tolerance,TRT,54,71,116,140,177,46,11.5,1,tolerance,0,submit_ensemble.json;submit_ensemble_v2_intersect.json;submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_ensemble_v4b.json;submit_optimized.json;submit_v11_nano.json;submit_v13_e3clean.json;submit_v13_e3plus.json;submit_v13_e3v12.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v2.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v3.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v31_plus_safe_selective.json;submit_v33_gene_combo.json;submit_v33_gene_trt.json;submit_v33_mega.json;submit_v36_gene_abs_trt.json;submit_v36_gene_trt.json;submit_v36_top3.json;submit_v37_all4.json;submit_v37_gene_qtl.json;submit_v37_gene_trt.json;submit_v38_llm_highconf.json;submit_v38_llm_no_rel.json;submit_v38_llm_qtl.json;submit_v38_llm_strict.json;submit_v4.json;submit_v5.json;submit_v6_rag.json;submit_v7_cicl_v2.json;submit_v9_clean.json;submit_v9_targeted.json;submit_v9v12_merged.json,Sorghum is adaptable to drought and high temperature. Group 3 LEA genes from barley and rice play a crucial role in abiotic stress tolerance.
19.4625,pass,193,GENE-AFF-TRT,AFF,VERNALIZATION1,GENE,flowering time,TRT,0,14,147,161,177,37,9.25,3,"associated,affect,increased",1,submit_ensemble.json;submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_ensemble_v4b.json;submit_v10_gemini.json;submit_v11_nano.json;submit_v13_e3clean.json;submit_v13_e3plus.json;submit_v13_e3v12.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v2.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v31_plus_safe_selective.json;submit_v33_gene_combo.json;submit_v33_gene_trt.json;submit_v33_mega.json;submit_v36_gene_abs_trt.json;submit_v36_gene_trt.json;submit_v36_top3.json;submit_v37_all4.json;submit_v37_gene_qtl.json;submit_v37_gene_trt.json;submit_v7_cicl_v2.json;submit_v9_clean.json;submit_v9_targeted.json;submit_v9v12_merged.json,VERNALIZATION1 (VRN1) regulates the vernalization requirement. It affects the yield and geographical distribution of Triticeae crops by regulating flowering time. The first intron (Intron I) of VRN1 contains cis-elements that repress VRN1 expression. Allelic variations in Intron I are associated with increased VRN1 expression in vernal
